"STATION","NAME","DATE","TMAX","TMIN"
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-01",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-02",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-03",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-04",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-05",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-06",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-07",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-08",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-09",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-10",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-11",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-12",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-13",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-14",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-15",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-16",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-17",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-18",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-19",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-20",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-21",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-22",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-23",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-24",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-25",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-26",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-27",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-28",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-29",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-01-30",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-04",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-05",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-06",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-07",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-08",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-09",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-10",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-11",,
"US1MDMG0109","SILVER SPRING 2.1 NNE, MD US","2021-02-12",,
