"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2020-11-13",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2020-11-14",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2020-11-15",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2020-11-16",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2020-11-17",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2020-11-18",,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2020-11-19",,,,
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-01","56","65","50",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-02","57","66","54",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-03","55","58","53",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-04","60","70","53",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-05","84","99","65",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-06","91","103","83",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-07","87","104","70",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-08","72","86","54",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-09","55","58","52",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-10","58","63","56",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-11","62","75","56",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-12","68","85","50",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-13","55","68","49",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-14","57","67","52",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-15","61","70","56",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-16","63","69","61",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-17","62","69","59",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-18","61","68","57",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-19","62","73","57",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-20","70","84","57",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-21","61","74","52",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-22","59","68","55",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-23","62","69","56",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-24","61","70","56",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-25","58","63","55",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-26","62","70","57",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-27","78","87","65",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-28","79","94","64",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-29","66","80","54",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-09-30","74","93","53",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-01","86","94","80",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-02","84","95","70",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-03","79","93","71",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-04","72","85","63",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-05","74","87","63",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-06","68","84","50",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-07","54","62","48",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-08","55","59","53",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-09","58","68","53",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-10","59","66","55",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-11","61","70","53",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-12","70","81","60",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-13","73","85","65",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-14","75","83","66",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-15","78","87","68",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-16","78","88","70",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-17","80","90","72",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-18","72","85","61",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-19","66","84","54",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-20","72","85","55",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-21","72","84","61",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-22","60","75","49",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-23","57","68","49",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-24","56","65","50",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-25","56","65","51",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-26","60","69","52",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-27","65","73","58",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-28","63","75","53",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-29","63","75","56",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-30","63","74","54",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-10-31","67","78","59",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-01","69","80","59",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-02","68","81","53",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-03","57","77","47",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-04","62","76","51",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-05","67","81","54",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-06","50","54","46",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-07","49","55","43",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-08","47","51","44",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-09","47","55","42",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-10","51","61","42",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-11","49","56","45",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-12","49","64","43",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-13","49","54","43",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-14","50","59","45",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-15","55","64","47",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-16","60","68","49",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-17","54","61","50",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-18","53","56","47",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-19","50","57","46",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-20","52","59","46",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-21","53","60","49",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-22","50","61","47",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-23","49","58","45",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-24","52","65","47",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-25","49","55","46",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-26","52","59","44",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-27","52","60","46",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-28","51","59","42",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-29","53","63","48",
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2020-11-30","51","61","44",
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-01",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-02",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-03",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-04",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-05",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-06",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-07",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-08",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-09",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-10",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-11",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-12",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-13",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-14",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-15",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-17",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-18",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-19",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-20",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-21",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-22",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-23",,,,
"US1CAAL0050","ALBANY 1.8 E, CA US","2020-09-24",,,,
